Country,Continent,GrossNationalIncome,AlcoholConsumptionRate,HappinessScore
Argentina,South America,21190,8.3,5.929
Australia,Oceania,48085,10.4,7.183
Austria,Europe,56197,9.7,7.268
Belgium,Europe,52085,10.5,6.834
Bolivia,South America,8554,3.8,5.716
Brazil,South America,14263,7.2,6.33
Bulgaria,Europe,23325,10.3,5.266
Canada,North America,48527,8.2,7.103
Chile,South America,23261,7.6,6.172
Colombia,South America,14257,4.2,6.012
Costa Rica,North America,18486,4.4,7.069
Croatia,Europe,28070,10.2,5.882
Czech Republic,Europe,38109,11.8,6.965
Denmark,Europe,58662,10.4,7.62
Ecuador,South America,11044,4.2,5.764
Estonia,Europe,36019,9.5,6.189
Finland,Europe,48511,10,7.842
France,Europe,47173,11.8,6.69
Germany,Europe,55314,11.3,7.155
Greece,Europe,30155,8.3,5.723
Guatemala,North America,8494,2.2,6.435
Honduras,North America,5308,3,5.919
Hong Kong,Asia,62985,0,5.477
Hungary,Europe,31329,11.3,5.992
Iceland,Europe,54682,6.6,7.554
India,Asia,6681,2.2,3.819
Indonesia,Asia,11459,0.1,5.345
Ireland,Europe,68371,11.4,7.085
Israel,Asia,40187,2.5,7.157
Italy,Europe,42776,6.5,6.483
Japan,Asia,42932,7,5.94
Latvia,Europe,30282,10.5,6.032
Lithuania,Europe,35799,12.9,6.255
Malaysia,Asia,27534,0.3,5.384
Mexico,North America,19160,5.5,6.317
Moldova,Europe,13664,6.3,5.766
Netherlands,Europe,57707,9.4,7.464
New Zealand,Oceania,40799,9.3,7.277
Norway,Europe,66494,6.7,7.392
Paraguay,South America,12224,7.3,5.653
Peru,South America,12252,6.1,5.84
Philippines,Asia,9778,4.6,5.88
Poland,Europe,31623,10.9,6.166
Portugal,Europe,33967,11,5.929
Romania,Europe,29497,10.4,6.14
Russia,Europe,26157,11.5,5.477
Singapore,Asia,88155,1.5,6.377
Slovakia,Europe,32113,11.4,6.331
South Africa,Africa,12129,8.2,4.956
South Korea,Asia,43044,9.8,5.845
Spain,Europe,40975,10,6.491
Sweden,Europe,54508,7.2,7.363
Switzerland,Europe,69394,10.2,7.571
Taiwan,Asia,0,0,6.584
Thailand,Asia,17781,6.4,5.985
Turkey,Asia,27701,1.4,4.948
Ukraine,Europe,13216,8.9,4.875
United Kingdom,Europe,46071,10.4,7.064
United States,North America,63826,8.7,6.951
Uruguay,South America,20064,6.6,6.431
Venezuela,South America,7045,7.7,4.892